question_topic_name,question_grade,question_term,question_unit,question_type1,question_type2,question_filename,question_dataset,question_text
지름의 성질 알아보기,P3,2,03,2,1,P3_2_03_00043_53465.png,1,지름이 $12 cm$인 원을 그리려면 컴퍼스를 몇 $cm$가 되도록 벌려야 합니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_28234.png,1,$\square$ 안에 알맞은 각도를 써넣으시오. $(1) 85°+\square=115°$ $(2) \square‒75°=80°$
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00043_53315.png,1,원에는 중심이 몇 개 있습니까?
예각삼각형 알아보기,P4,2,02,2,0,P4_2_02_00042_28326.png,1,예각삼각형에는 예각이 몇 개 있습니까?
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34718.png,1,"철사를 사용하여 가로가 $10cm$, 세로가 $8cm$인 직사각형을 만들었습니다. 이 철사를 펴서 다시 가장 큰 정사각형 $1$개를 만들 때, 이 정사각형의 한 변의 길이는 몇 $cm$입니까?"
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_28015.png,1,각도의 계산을 하시오. (1) $72^{\circ}+98^{\circ}$ (2) $107^{\circ}-16^{\circ}$
원 그리기,P3,2,03,2,1,P3_2_03_00042_53260.png,1,반지름이 $8$cm인 원을 그리려고 합니다. 컴퍼스의 침과 연필심 사이를 몇 $cm$ 벌려야 합니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37308.png,1,"각의 크기를 비교하여 $\bigcirc$ 안에 $>, = , <$를 알맞게 써넣으시오. $155^{\circ}-30^{\circ} \bigcirc 85^{\circ}+45^{\circ}$"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25651.png,1,"정호와 근희는 각각 길이가 $28$ cm인 끈을 가지고 있습니다. 끈을 남김없이 모두 사용하여 정호는 가로가 $10$ cm인 직사각형을 만들고, 근희는 정사각형을 만들었습니다. 두 사람이 만든 사각형의 세로의 길이의 합은 몇 cm입니까?"
마름모의 성질 알아보기,P4,2,04,2,1,P4_2_04_00043_54179.png,1,길이가 $ 96 $ cm인 철사를 모두 사용하여 마름모를 한 개 만들었습니다. 만들어진 마름모의 한 변은 몇 cm입니까?
두 각도의 합 구하기,P4,1,02,2,1,P4_1_02_00042_28230.png,1,각도의 합을 계산하시오. (1) $ 75^{\circ}+68^{\circ} $ (2) $ 135^{\circ}+59^{\circ} $ (3) $ 90^{\circ}+50^{\circ} $ (4) $ 95^{\circ}+180^{\circ} $
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00042_83933.png,1,"은주는 3시 25분에 수영을 시작하여 1시간 20분 동안 했습니다. 은주가 수영을 마친 시각을 시계에 나타낼 때, 시침과 분침이 이루는 작은 쪽의 각은 예각입니까, 둔각입니까?"
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_27485.png,1,$\square$ 안에 알맞은 각도를 써넣으시오.  $ 90^{\circ}+\square=245^{\circ} $
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34728.png,1,한 변의 길이가 $63cm$인 정사각형 모양의 종이를 잘라 한 변의 길이가 $9cm$인 정사각형을 만들려고 합니다. 모두 몇 개까지 만들 수 있습니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_31082.png,1,"계산 결과가 예각인 경우에는 ‘예’, 둔각인 경우에는 ‘둔’이라고 쓰시오. (1) $ 90^{\circ}+15^{\circ} $ (2) $ 25^{\circ}+66^{\circ} $ (3) $ 180^{\circ}-95^{\circ} $"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25469.png,1,네 변의 길이의 합이 $ 28 \mathrm{~cm} $ 인 정사각형의 한 변의 길이는 몇 $ \mathrm{cm} $ 입니까?
삼각형을 각의 크기에 따라 분류하기,P4,2,02,2,1,P4_2_02_00042_29755.png,1,"삼각형의 세 각 중 두 각의 크기가 다음과 같을 때, 각 삼각형은 예각삼각형과 둔각삼각형 중에서 어떤 삼각형인지 쓰시오. (1) $50\degree,60\degree$ (2) $35\degree,40\degree$"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25580.png,1,한 변의 길이가 $ 16 \mathrm{~m} $인 정사각형 모양의 공원이 있습니다. 유란이가 이 공원의 둘레를 한 바퀴 걸었다면 유란이는 모두 몇 $ \mathrm{m} $를 걸었습니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37268.png,1,두 각도의 합과 차를 구하시오. (1) $135^{\circ}+80^{\circ}$ (2) $140^{\circ}-65^{\circ}$
직각 알아보기,P3,1,02,2,1,P3_1_02_00043_34650.png,1,지금 시각은 $1$시 정각입니다. 은우는 앞으로 $4$시간 동안 아르바이트를 하는데 시계의 긴 바늘과 짧은 바늘이 직각을 이루는 때에만 $5$분씩 쉴 수 있습니다. 은우는 모두 몇 분을 쉴 수 있습니까?
지름의 성질 알아보기,P3,2,03,2,1,P3_2_03_00043_53642.png,1,컴퍼스를 사용하여 지름이 $12 cm$인 원을 그리려고 합니다. 컴퍼스를 몇 $cm$만큼 벌려야 합니까?
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00042_30338.png,1,"다음과 같은 각도를 예각, 둔각으로 구분하여 보시오. (1) $45^{\circ}$ (2) $145^{\circ}$"
직사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_00059.png,1,네 변의 길이의 합이 $ 24 \mathrm{~cm} $ 인 직사각형이 있습니다. 이 직사각형의 긴 변이 $ 9 \mathrm{~cm} $ 라면 짦은 변은 몇 $\mathrm{cm}$입니까?
원 그리기,P3,2,03,2,1,P3_2_03_00042_88223.png,1,컴퍼스의 침과 연필심 사이를 $7cm$로 해서 원을 그리면 원의 반지름의 길이는 몇 $cm$가 됩니까?
삼각형을 각의 크기에 따라 분류하기,P4,2,02,2,1,P4_2_02_00042_84333.png,1,"두 각의 크기가 다음과 같은 삼각형은 예각삼각형인지, 둔각삼각형인지 쓰시오.(1) 75°, 40°(2) 45°, 35°"
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00043_53305.png,1,한 원에는 원의 중심이 몇 개 있습니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37323.png,1,두 각도의 합과 차를 구하시오. (1) $80^{\circ}+30^{\circ}$ (2) $40^{\circ}+65^{\circ}$ (3) $120^{\circ}-30^{\circ}$ (4) $160^{\circ}-85^{\circ}$
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_28021.png,1,두 각도의 합과 차를 각각 구하시오. $\boxed{75^{\circ}  30^{\circ}}$ 합 ( $\qquad$) 차 ($\qquad$ )
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00043_37688.png,1,희정이는 $8$시 $30$분에 등교하여 $7$시간 후에 하교합니다. 희정이가 학교에 있는 시간 중에서 시계의 긴바늘이 숫자 $12$를 가리키고 긴바늘과 짧은바늘이 이루는 작은 쪽의 각이 예각인 경우는 몇 번 있는지 알아보시오.  ⑴ 희정이가 하교하는 시각은 몇 시 몇 분입니까?  ⑵ 희정이가 학교에 있는 시간 중에서 시계의 긴바늘이 숫자 $12$를 가리키는 시각을 모두 쓰시오.  ⑶ ⑵의 시각 중 긴바늘과 짧은바늘이 이루는 작은 쪽의 각이 예각인 경우는 몇 번입니까?
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00042_53228.png,1,"컴퍼스를 이용하여 원을 그릴 때, 컴퍼스의 침이 꽂혔던 자리를 무엇이라고 합니까?"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_83870.png,1,길이가 $ 32 \mathrm{~cm} $ 인 철사로 가장 큰 정사각형을 만들려고 합니다. 한 변을 몇 $ \mathrm{cm} $ 로 하면 됩니까?
각도기를 이용하여 각도 재기,P4,1,02,2,1,P4_1_02_00042_83897.png,1,$4$시와 $8$시를 가리키는 모형 시계가 있습니다. 시계의 두 바늘이 이루는 작은 쪽의 각의 크기를 더하면 몇 도가 됩니까?
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00043_37146.png,1,은주는 시계를 보았더니 $4$시였습니다. 시계를 보기 $30$분 전에 시계의 긴바늘과 짧은바늘이 이루는 작은 쪽의 각은 예각과 둔각 중 어느 것입니까?
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,2,1,P4_1_02_00042_31038.png,1,한 각의 크기가 $70^{\circ}$인 삼각형이 있습니다. 나머지 두 각의 크기의 합은 얼마입니까?
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00042_28700.png,1,"은성이는 $7$시 $45$분에 집에서 출발하여 $285$분 후 할머니 댁에 도착하였습니다. 할머니 댁에 도착한 시각의 시침과 분침이 이루는 작은 쪽의 각은 예각, 직각, 둔각 중 어느 것입니까?"
예각삼각형 알아보기,P4,2,02,2,1,P4_2_02_00042_30374.png,1,"세 각의 크기가 $ 30^{\circ}, 80^{\circ}, 70^{\circ} $ 인 삼각형이 있습니다.이 삼각형은 예각삼각형입니까, 둔각삼각형입니까?"
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37693.png,1,"각도를 비교하여 $\bigcirc$ 안에 $>, =, <$를 알맞게 써넣으시오. $ 45^{\circ}+135^{\circ} \bigcirc 275^{\circ}-95^{\circ} $"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34720.png,1,"가로가 $30cm$, 세로가 $16cm$인 직사각형 모양의 종이를 잘라서 가장 큰 정사각형을 만들었습니다. 남은 직사각형 모양 종이의 네 변의 길이의 합은 몇 $cm$입니까?"
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_30146.png,1,각도의 합과 차를 계산하시오. (1) $ 75^{\circ}+140^{\circ} $ (2) $ 320^{\circ}-185^{\circ} $
직사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25566.png,1,"길이가 $80 cm$인 철사로 짧은 변의 길이가 $11 cm$이고, 긴 변의 길이가 $15 cm$인 직사각형을 만들었습니다. 남은 철사의 길이는 몇 $cm$입니까?"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25661.png,1,한 변의 길이가 $13 m$인 정사각형 모양의 꽃밭이 있습니다. 혜빈이가 이 꽃밭의 둘레를 한 바퀴 걸었다면 혜빈이는 몇 $m$를 걸었습니까?
마름모의 성질 알아보기,P4,2,04,2,1,P4_2_04_00043_54161.png,1,네 변의 합이 $ 32 \mathrm{~cm} $인 마름모의 한 변은 몇 $\mathrm{~cm}$입니까?
직각삼각형 알아보기,P3,1,02,2,0,P3_1_02_00043_35027.png,1,$\square$ 안에 알맞은 말을 써넣으시오.  $\square$각이 직각인 삼각형을 직각삼각형이라고 합니다.
삼각형의 변의 길이에 따라 분류하기,P4,2,02,2,1,P4_2_02_00043_37631.png,1,세 변의 길이의 합이 $36 cm$인 정삼각형이 있습니다. 이 정삼각형의 한 변의 길이는 몇 $cm$입니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_84295.png,1,$\square$ 안에 알맞은 각도를 써넣으시오. ($1$) $125\degree + 35\degree$=$\square$ ($2$) $270\degree - \square$=$190\degree$ ($3$) $\square - 90\degree$=$155\degree$
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25664.png,1,"가로가 $8 cm$, 세로가 $6 cm$인 직사각형 모양을 만든 철사를 펴서 남김없이 모두 사용하여 정사각형 모양을 만들려고 합니다. 정사각형 모양의 한 변의 길이를 몇 $cm$로 하면 됩니까?"
지름의 성질 알아보기,P3,2,03,2,1,P3_2_03_00043_53709.png,1,"가로가 $20 cm$이고, 세로가 $6 cm$인 직사각형 안에 그릴 수 있는 가장 큰 원을 겹치지 않게 그려 넣을 때, 원을 최대 몇 개까지 그릴 수 있습니까?"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_32799.png,1,네 변의 합이 $36cm$인 정사각형이 있습니다. 이 정사각형의 한 변은 몇 $cm$입니까?
예각과 둔각 알아보기,P4,1,02,2,0,P4_1_02_00042_28715.png,1,정삼각형에는 예각이 모두 몇 개 있습니까?
수직,P4,2,04,2,0,P4_2_04_00043_51978.png,1,"설명이 옳은 것에 $\bigcirc$표, 틀린 것에 $△$표 하시오. (1) 두 직선이 만나서 이루는 각이 직각일 때, 두 직선은 서로 수직입니다.  (2) 한 직선에 그을 수 있는 수선은 $1$개 뿐입니다."
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_83898.png,1,사격 선수가 처음에 $85^{\circ}$ 의 각도로 쏘았더니 과녁의 위쪽에 맞았습니다. 두 번째는 $85^{\circ}$ 보다 $25^{\circ}$ 아래의 각도로 쏘았더니 아래 부분에 맞았습 니다. 세 번째는 두 번째보다 $10^{\circ}$ 위의 각도로 쏘았더니 과녁에 맞았습니다. 세 번째는 몇 도로 사격을 했습니까?
지름의 성질 알아보기,P3,2,03,2,1,P3_2_03_00043_53473.png,1,"지름이 $18\,cm$인 원을 그리려면 컴퍼스의 침과 연필심 사이가 몇 $cm$가 되도록 벌려야 합니까?"
직사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25456.png,1,"긴 변과 짧은 변의 길이가 각각 $ 6 \mathrm{~cm}, 4 \mathrm{~cm} $ 인 직사각형의 네 변의 길이의 합은 몇 cm입니까?"
원 그리기,P3,2,03,2,0,P3_2_03_00043_53348.png,1,컴퍼스를 사용하여 반지름이 $3$cm인 원을 그려 보시오.
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_28018.png,1,$\square$ 안에 알맞은 각도를 써넣으시오.  ($1$) $270\degree$+$45\degree$=$\square$ ($2$) $180\degree-\square$=$63\degree$
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34696.png,1,한 변의 길이가  $8 \mathrm{~cm}$ 인 정사각형 모양의 옷감이 있습니다. 이 옷감의 네 변의 길이의 합은 몇 $\mathrm{cm}$입니까?
각도기를 이용하여 각도 재기,P4,1,02,2,1,P4_1_02_00042_28135.png,1,지금 시각은 $10$시입니다. 지금부터 시계의 분침이 $  150^{\circ} $를 움직이면 몇 시 몇 분이 됩니까?
삼각형을 각의 크기에 따라 분류하기,P4,2,02,2,1,P4_2_02_00042_28765.png,1,"두 각이 각각  $ 25^{\circ}, 70^{\circ} $인 삼각형이 있습니다. 이 삼각형은 예각삼각형과 둔각삼각형 중 어떤 삼각형입니까?"
직사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25193.png,1,주위에서 직사각형 모양이 있는 물건을 $2$개만 찾아 쓰시오.
사다리꼴 알아보기,P4,2,04,2,0,P4_2_04_00043_53948.png,1,$\square$ 안에 알맞은 말을 써넣으시오. 마주 보는 한 쌍의 변이 서로 평행한 사각형을 $\square$이라고 합니다.
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37314.png,1,각도의 합과 차를 구하시오.($1$) $65°+95°=\square$ ($2$) $140°-75°=\square$
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34704.png,1,한 변의 길이가  $30 \mathrm{~cm}$ 인 정사각형 모양 바둑판의 네 변의 길이의 합은 몇 $\mathrm{cm}$ 입니까?
원 그리기,P3,2,03,2,1,P3_2_03_00043_53345.png,1,장희는 컴퍼스를  $ 4 \mathrm{~cm} $ 만큼 벌려서 원을 그렸습니다. 장희가 그린 원의 반지름은 몇 $\mathrm{cm}$입니까?
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00042_29751.png,1,"예지가 $40$분 동안 공부를 한 후 시계를 보니 $4$시 정각이었습니다. 예지가 공부를 시작한 시각의 시계의 시침과 분침이 이루는 작은 쪽의 각은 예각, 직각, 둔각 중에서 어느 것입니까?"
직사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34687.png,1,"우진이의 침대는 네 변의 길이의 합이 $ 660 \mathrm{~cm} $인 직사각형 모양입니다. 침대의 세로가 가로의 $2$배일 때, 침대의 세로는 몇 $ \mathrm{cm} $인지 구하시오."
각도기와 자를 이용하여 각 그리기,P4,1,02,2,1,P4_1_02_00042_28186.png,1,피자 한 판을 똑같이 $6$조각으로 나눈 한 조각의 각의 크기의 $2$배인 각을 그려 보시오.
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00042_53231.png,1,한 원에서 반지름은 몇 개까지 그릴 수 있습니까?
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00042_53237.png,1,한 원에서 원의 중심은 몇 개 있습니까?
예각과 둔각 알아보기,P4,1,02,2,1,P4_1_02_00042_30339.png,1,"각의 크기를 비교하여 $\bigcirc$ 안에 >, <를 알맞게 써넣으시오 . 예각 $\bigcirc$ 직각 $\bigcirc$ 둔각"
예각과 둔각 알아보기,P4,1,02,2,0,P4_1_02_00043_37156.png,1,"서영이가 말한 각도를 보고 은채의 대답을 알맞게 써넣으시오.  서영 : 우리 예각, 직각, 둔각 말하기 놀이 할래?은채 : 좋아! 네가 각도를 말하면 내가 답할게~!  서영 : $45^{\circ}, 90^{\circ}, 145^{\circ}$ 를 차례로 말해봐! 은채 :$\square, \square, \square$"
둔각삼각형 알아보기,P4,2,02,2,1,P4_2_02_00042_28761.png,1,"$\square$ 안에 알맞은 수를 써넣으시오.  예각삼각형에는 $\square$ 개 있고, 둔각삼각형에는 둔각이 $\square$개, 예각이 $\square$개 있습니다."
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_30159.png,1,각도의 합과 차를 계산하시오.  (1) $60^{\circ}+50^{\circ}=\square$ (2) $120^{\circ}+150^{\circ}=\square$ (3) $90^{\circ}-55^{\circ}=\square$ (4) $175^{\circ}-85^{\circ}=\square$
삼각형을 각의 크기에 따라 분류하기,P4,2,02,2,0,P4_2_02_00042_28776.png,1,"어느 삼각형의 두 각의 크기를 재어 보았더니 각각 $ 50^{\circ}, 20^{\circ} $였습니다. 이 삼각형은 예각삼각형인지, 둔각삼각형인지 쓰시오."
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_30147.png,1,$\square$ 안에 알맞은 각도를 써넣으시오. (1) $ 45^{\circ}+\square=150^{\circ} $ (2) $ \square-190^{\circ}=95^{\circ} $
삼각형의 변의 길이에 따라 분류하기,P4,2,02,2,1,P4_2_02_00043_37542.png,1,형호는 미술 시간에 길이가 $ 48 \mathrm{~cm} $ 인 철사를 남기거나 겹치는 부분이 없도록 구부려서 정삼각형을 한 개 만들었습니다. 만든 정삼각형의 한 변의 길이는 몇 $\mathrm{cm}$입니까?
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25667.png,1,"가로가 $42 cm$, 세로가 $35 cm$인 직사각형 모양의 종이가 있습니다. 이 종이를 잘라서 한 변의 길이가 $7 cm$인 정사각형을 만들려고 합니다. 정사각형을 몇 개까지 만들 수 있습니까?"
지름의 성질 알아보기,P3,2,03,2,1,P3_2_03_00043_53456.png,1,$\square$ 안에 알맞은 수를 써넣으시오.  (원의 지름)$=$(원의 반지름)$\times \square$
정사각형의 성질 알아보기,P4,2,04,2,1,P4_2_04_00042_92177.png,1,정사각형 모양의 창문의 둘레를 재어 보니 $80cm$였습니다. 이 창문의 한 변은 몇 $cm$입니까?
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00043_37256.png,1,"각의 크기를 비교하여 $\bigcirc$ 안에 $>, =, <$를 알맞게 써넣으시오. $ 95^{\circ}+125^{\circ} \bigcirc 245^{\circ}-75^{\circ} $"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34724.png,1,"가로가 $8m$, 세로가 $6m$인 직사각형 모양의 바닥에 한 변의 길이가 $2m$인 정사각형 모양의 대리석을 빈틈없이 깔려고 합니다. 필요한 대리석은 모두 몇 장입니까?"
이등변삼각형 알아보기,P4,2,02,2,1,P4_2_02_00043_37549.png,1,"두 변의 길이가 다음과 같은 이등변삼각형을 그리려고 합니다. 나머지 한 변이 될 수 있는 길이를 모두 쓰시오. $7cm,12cm$"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00043_34725.png,1,"긴 변이 $35m$, 짧은 변이 $21m$인 직사각형 모양의 밭이 있습니다. 이 밭을 한 변의 길이가$ 7m$인 정사각형 모양으로 똑같이 나눈 다음, 각각의 정사각형 안에 서로 다른 채소를 심으려고 합니다. 심을 수 있는 채소의 종류는 모두 몇 가지입니까?"
정사각형의 특징 알아보기,P3,1,02,2,1,P3_1_02_00042_25210.png,1,한 변이 $4 \mathrm{~cm}$ 인 정사각형의 네 변의 합은 몇 $\mathrm{~cm}$입니까?
예각과 둔각 알아보기,P4,1,02,2,0,P4_1_02_00042_28683.png,1,"시계에 주어진 시각을 나타내었을 때 시침과 분침이 이루는 작은 쪽의 각을 예각, 직각, 둔각으로 구분하여 $() $안에 쓰시오.  "
두 각도의 합 구하기,P4,1,02,2,1,P4_1_02_00042_28203.png,1,각도의 합을 계산하시오. (1) $30\degree+20\degree$ (2) $70\degree+45\degree$ (3) $180\degree+95\degree$ (4) $65\degree+270\degree$
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,2,1,P4_1_02_00042_31034.png,1,삼각형에서 한 각의 크기가 $121^{\circ}$일 때 나머지 두 각의 크기의 합을 구하시오.
삼각형에서 나머지 한 각의 크기 구하기,P4,1,02,2,1,P4_1_02_00042_30194.png,1,삼각형의 한 각의 크기가 $ 110\degree $라면 나머지 두 각의 크기의 합은 얼마입니까?
직각삼각형 알아보기,P3,1,02,2,0,P3_1_02_00042_83855.png,1,"다음과 같은 도형은 어떤 도형입니까?  ·변, 꼭짓점, 각이 각각 세 개입니다. ·한 개의 각이 직각입니다."
정사각형의 성질 알아보기,P4,2,04,2,0,P4_2_04_00042_92179.png,1,"정사각형에 대한 설명입니다. 맞으면 $\bigcirc$표, 틀리면 ×표 하시오. (1) 네 각의 크기가 다릅니다. (2) 마름모라고 할 수 있습니다."
두 각도의 차 구하기,P4,1,02,2,1,P4_1_02_00042_30143.png,1,"$\bigcirc$  안에 $>, = ,<$를 알맞게 써넣으시오. $ 320^{\circ}-105^{\circ}  \bigcirc  130^{\circ}+85^{\circ} $"
원의 반지름과 지름 알아보기,P3,2,03,2,0,P3_2_03_00043_53311.png,1,$\square$ 안에 알맞은 말을 써넣으시오. 원의 중심과 원 위의 한 점을 이은 선분을 $\square$ 이라고 합니다.
두 각도의 합 구하기,P4,1,02,2,1,P4_1_02_00042_99024.png,1,"$\square$ 안에 알맞은 각도를 써넣고 예각, 직각, 둔각 중에서 어느 것인지 쓰시오. 직각 $ +30^{\circ}=\square $"
마름모의 성질 알아보기,P4,2,04,2,1,P4_2_04_00042_55786.png,1,한 변이 $10 cm$인 마름모의 네 변의 합은 몇 $cm$입니까?
